iter	Passed	Remaining
969	49164	1520
970	49218	1469
971	49272	1419
972	49324	1368
973	49380	1318
974	49433	1267
975	49480	1216
976	49532	1166
977	49583	1115
978	49637	1064
979	49690	1014
980	49742	963
981	49790	912
982	49839	861
983	49888	811
984	49935	760
985	49989	709
986	50040	659
987	50095	608
988	50150	557
989	50202	507
990	50247	456
991	50291	405
992	50341	354
993	50384	304
994	50428	253
995	50481	202
996	50536	152
997	50588	101
998	50637	50
999	50688	0
