iter	TotalF1	MultiClass
482	0.9392051365	0.1681252988
483	0.9392514805	0.1680380423
484	0.9392783868	0.1679383892
485	0.9393222345	0.1677934106
486	0.9393610322	0.1677104833
487	0.9394046208	0.1675887034
488	0.9394541141	0.167472792
489	0.9394935678	0.1673657863
490	0.9395543924	0.1672446524
491	0.9396752002	0.1670712251
492	0.9397007114	0.1669133415
493	0.939730494	0.1668757534
494	0.9397818165	0.1667659715
495	0.9398034273	0.1666604089
496	0.9399513696	0.1664886857
497	0.9399759615	0.1664089605
498	0.9399768366	0.1663335645
499	0.940088256	0.1661293521
500	0.9401404669	0.1659752204
501	0.9401866236	0.1658707297
502	0.94022344	0.1657647685
503	0.9402710451	0.1656186904
504	0.9403084245	0.1655030401
505	0.9403938885	0.1653492246
506	0.9404605946	0.1652202982
507	0.940530852	0.1650536876
508	0.9406192436	0.1649432048
509	0.9406477075	0.1648305505
510	0.940759718	0.1646985457
511	0.9408002802	0.1645844759
512	0.9408092152	0.1645100694
513	0.9408400887	0.1644191846
514	0.9408618718	0.1643267881
515	0.9409239376	0.1642157555
516	0.9409932908	0.1641182602
517	0.9410550358	0.1640498733
518	0.9410586118	0.1639427714
519	0.9411555149	0.1637906737
520	0.9412472251	0.1636765489
521	0.9412728323	0.1636105121
522	0.9413110361	0.1635151745
523	0.9413842889	0.1633814517
524	0.9414388545	0.1632871036
525	0.941466064	0.163191285
526	0.9415036784	0.1630725974
527	0.9415758849	0.1629633515
528	0.9416381113	0.1628737312
529	0.9416486152	0.1627129752
530	0.9417422178	0.1626178025
531	0.9418194973	0.1625202659
532	0.9418727425	0.1623972217
533	0.9419124915	0.1623100202
534	0.942022647	0.1621274947
535	0.9420446586	0.162035057
536	0.9421379424	0.1619159983
537	0.9421723885	0.1618045673
538	0.9421984488	0.1616985785
539	0.9422593998	0.1616059759
540	0.942353889	0.1614518717
541	0.9423708002	0.161344811
542	0.9424439385	0.1612020313
543	0.9425000027	0.1610954104
544	0.9425323298	0.161014572
545	0.9426218417	0.1608986881
546	0.9426828706	0.1608215879
547	0.9426806122	0.1607540806
548	0.942724162	0.1606904489
549	0.9427557769	0.1605973239
550	0.9427796976	0.160513036
551	0.9428815168	0.1603862535
552	0.9429457146	0.1603052502
553	0.9429818447	0.1602113969
554	0.943025084	0.1600983029
555	0.9430579129	0.1600278957
556	0.9430949709	0.1598997252
557	0.9431362042	0.159792802
558	0.9431972447	0.1596653874
559	0.943205406	0.1595925888
560	0.9432556565	0.159477557
561	0.9432806195	0.1593955504
562	0.943350656	0.1593108089
563	0.9434140314	0.1591831607
564	0.9434658966	0.1590913964
565	0.9435350095	0.1589701525
566	0.9435801728	0.1588939319
567	0.9436542056	0.158763535
568	0.9437533473	0.1586402984
569	0.9438002356	0.1585570961
570	0.9438558549	0.1584237582
571	0.9438813556	0.1582858162
572	0.9439447417	0.1581721724
573	0.9440134339	0.158057759
574	0.9440385474	0.1580027032
575	0.9440947255	0.1578817617
576	0.9441682569	0.1577483
577	0.9442123034	0.1576447851
578	0.9442466976	0.1575601123
579	0.9442888883	0.1574408338
580	0.9443103296	0.1573635824
581	0.944410243	0.1572323884
582	0.9444700711	0.1571227165
583	0.9445197091	0.1570329449
584	0.9445498071	0.1569773668
585	0.9445579534	0.1569094059
586	0.9445966228	0.1568469699
587	0.9446420051	0.1567158721
588	0.9446533956	0.1566578477
589	0.9447179002	0.1565561194
590	0.9448013064	0.1563847673
591	0.9448623548	0.1562506047
592	0.9449089063	0.1561580432
593	0.9449538712	0.1560454852
594	0.9450128674	0.155959603
595	0.945043949	0.1559109103
596	0.9451047718	0.1557844303
597	0.9451192372	0.1557334699
598	0.9451523239	0.1556531813
599	0.9451746669	0.155599967
600	0.9452368275	0.155491106
601	0.9452571542	0.1554126452
602	0.9453356948	0.1552520266
603	0.9453534708	0.1551636569
604	0.9454125388	0.1550592075
605	0.9454530426	0.1549574792
606	0.9454870066	0.1548860138
607	0.9455423809	0.1547467386
608	0.9455992935	0.1545925657
609	0.9456537717	0.154512923
610	0.9456842455	0.1544067694
611	0.945765246	0.1543125038
612	0.9457994509	0.1542475802
613	0.9458143787	0.1541085662
614	0.945912213	0.1540105624
